Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
No	Hmm… it seems like your account may be locked. For your security and confidentiality, please contact our Service Line at 888-705-0600 M-F 8am-8pm ET (5am-5pm PT) to speak with an agent to verify your identity and unlock your account. \n\nCan I help with anything else?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":43,"Qna":null,"DisplayText":"Account & Login Help"},{"DisplayOrder":2,"QnaId":49,"Qna":null,"DisplayText":"Payment Help"},{"DisplayOrder":3,"QnaId":50,"Qna":null,"DisplayText":"Balance & Billing FAQs"},{"DisplayOrder":4,"QnaId":51,"Qna":null,"DisplayText":"My Management Company Details"}]	53
Confirm a Payment	For your security and confidentiality, I am unable to provide your payment activity through chat. Please try to:\n\n1.  Check your email (both the inbox and junk folder) for a payment confirmation.\n2.  Log into your account to review your payment history.\n\nIf you have not received a confirmation email after 15 minutes or you want to confirm a one-time guest payment, please contact our Service Line at 888-705-0600 M-F 8am-8pm ET (5am-5pm PT) to speak with an agent\nto verify if the payment was processed.\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	54
Make a Payment	Would you like to make a one-time payment or recurring payment? Please note that making a one-time payment does not impact your recurring payment schedule if you have one set up.	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":56,"Qna":null,"DisplayText":"One-Time Payment"},{"DisplayOrder":2,"QnaId":59,"Qna":null,"DisplayText":"Set Up Recurring Payment"}]	55
One-Time Payment	Do you want to make a one time card or eCheck payment?\n	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":57,"Qna":null,"DisplayText":"Card Payment"},{"DisplayOrder":2,"QnaId":58,"Qna":null,"DisplayText":"E-Check Payment"}]	56
Card Payment	Alright! Here is an article link that includes step-by-step instructions and screenshots for making a one-time payment:\n\nhttps://www.hoabankservices.com/pdfs/Make_a_One_Time_Card_Payment_Guest_(10-2021)-PWB.pdf\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	57
E-Check Payment	Alright! Here is an article link that includes step-by-step instructions and screenshots for making a one-time payment:\n\nhttps://www.hoabankservices.com/pdfs/Make_a_One_Time_E-Check_Payment_Guest_(10-2021)-PWB.pdf\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	58
Set Up Recurring Payment	Alright! Here is an article link that includes step-by-step instructions and screenshots for making a recurring payment:\n\n[https://www.hoabankservices.com/pdfs/Set_Up_Recurring_HOA_Payments_(10-2021)-PWB.pdf](https://www.hoabankservices.com/pdfs/Set_Up_Recurring_HOA_Payments_(10-2021)-PWB.pdf)\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	59
Cancel a Payment	Is your pending payment one-time or recurring?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":61,"Qna":null,"DisplayText":"One-Time Payment"},{"DisplayOrder":2,"QnaId":62,"Qna":null,"DisplayText":"Recurring Payment"}]	60
One-Time Payment	For your security and confidentiality, I am unable to modify your payment activity through chat. Please contact our Service Line at 888-705-0600 M-F 8am-8pm ET (5am-5pm PT) to speak with an agent to cancel your\npending one-time payment.\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	61
Recurring Payment	Would you like to delete the entire recurring payment or just a specific payment within a schedule?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":63,"Qna":null,"DisplayText":"Delete the entire recurring payment"},{"DisplayOrder":2,"QnaId":64,"Qna":null,"DisplayText":"Delete a specific payment within a schedule"}]	62
Delete the entire recurring payment	Okay! Here is an article link that includes step-by-step instructions and screenshots for deleting an entire recurring payment.\n\nhttps://www.hoabankservices.com/pdfs/Delete_My_Entire_Recurring_Payment_Schedule_(10-2021)-PWB.pdf\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	63
Delete a specific payment within a schedule	Okay! Here is an article link that includes step-by-step instructions and screenshots for deleting a specific payment within a schedule.\n\n[https://www.hoabankservices.com/pdfs/Delete_a_Specific_Payment_Within_a_Schedule_(10-2021)-PWB.pdf](https://www.hoabankservices.com/pdfs/Delete_a_Specific_Payment_Within_a_Schedule_(10-2021)-PWB.pdf)\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	64
Edit a Recurring Payment	Here is an article link that includes step-by-step instructions and screenshots for editing a recurring payment:\n\n[https://www.hoabankservices.com/pdfs/Edit_a_Recurring_HOA_Payment_(10-2021)-PWB.pdf](https://www.hoabankservices.com/pdfs/Edit_a_Recurring_HOA_Payment_(10-2021)-PWB.pdf)\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	65
Unable to find Association Name in Payment	First, try entering a partial name of the HOA, then clicking Find. For example, for "Apple Association", first type "Apple", then click Find. Refer to your billing correspondence or Management Company if you do not know your HOA name. \n\nDid that work?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":67,"Qna":null,"DisplayText":"No"}]	66
No	Okay, here is a knowledge article that includes step-by-step instructions to set up a payment and how to locate your HOA name:\n\n[https://www.hoabankservices.com/pdfs/Chatbot-(10-2021)Searching_for_Homeowner_Association_Name.pdf](https://www.hoabankservices.com/pdfs/Chatbot-(10-2021)Searching_for_Homeowner_Association_Name.pdf)\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	67
Payment Options	We only accept eCheck and debit/credit card payments on this site. For other payment options or refunds, please contact your Management company. Do you know how to contact your management company?\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	68
Don’t Know Homeowner ID	For your security and confidentiality, I am unable to provide your Homeowner ID through chat. Please call your management company. Do you know how to contact your management company?\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	69
View HOA Balance	To confirm your amount due or review your balance, please contact your Management company directly as balances are not viewable on our website. Do you know how to contact your management company?\n\nDid this resolve your issue?	Editorial		[{"ClusterHead":"My Management Company Details","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"My Management Company Details","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	70
Billing Statement	For your security and confidentiality, I am unable to provide your billing statement through chat. For an official hard copy statements, please contact your Management company directly. Do you know how to contact your management company?\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	71
Fees	Only eCheck and credit/debit payments are available through this site. If you pay with an eCheck, there is no fee. If you pay with a card, there is a $14.95 technology fee per transaction.\n\nAdditional fees may be applied by your credit/debit card issuer or management company.\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	72
Refunds	For refunds on processed payments, please contact your management company, do you know how to contact your management company?\n\nDid this resolve your issue?	Editorial		[]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	73
No	Please refer to any billing or correspondence received from your management company to obtain their contact information or for further assistance please contact us at  888-705-0600.	Editorial		[{"ClusterHead":"My Management Company Details","TotalAutoSuggestedCount":1,"TotalUserSuggestedCount":0,"AlternateQuestionList":[{"Question":"My Management Company Details","AutoSuggestedCount":1,"UserSuggestedCount":0}]}]	False	[{"DisplayOrder":1,"QnaId":45,"Qna":null,"DisplayText":"Yes"},{"DisplayOrder":2,"QnaId":46,"Qna":null,"DisplayText":"No"}]	74
